keys,en,es,pl,de,ru,uk,ja,zh_CN,zh_TW
ABILITY_NAME_BOOST,Boost,Boost,Szybkość,Boost,Усиление,Посилити,ブースト,增强,加速
ABILITY_FIELD_LABEL,Ability,Habilidad,Umiejętność,Fähigkeit,Способность,Здатність,アビリティ,能力,能力
ABILITY_NAME_INVISIBLE,Invisible,Invisible,Niewidzialność,Unsichtbar,Невидимость,Невидимий,インビジブル,隐身,隱形
ABILITY_NAME_ZAP,Zap!,¡Zap!,Teleport!,Zap!,Разряд,Бум!,ザップ！,击杀！,轟炸！
ALERT_LEAVE_MATCH,You will leave the session and won't be able to to rejoin,Saldrás de la sesión y no podrás volver a entrar,Opuścisz sesję i nie będzie można do niej powrócić,Du verlässt die Sitzung und kannst nicht wieder beitreten.,Ты покинешь сеанс и не сможешь присоединиться повторно,Ти залишиш сесію та не зможеш приєднатися знову,セッションを離れ、再び参加ことはできません,您将退出会话，且无法重新加入,你將離開此配對，且無法再回來。
ALERT_LEAVE_MATCH_HOST,This will end the match for everyone and return to the match setup screen.,Esto terminará el partido para todos y volverá a la pantalla de configuración de la partida.,To zakończy mecz dla wszystkich i powrócisz do ekranu ustawień meczu.,Du beendest das Match für alle und kehrst zum Bildschirm für die Spielvorbereitung zurück.,"Матч будет завершен для всех, и ты вернешься к экрану настройки матча.",На цьому матч завершиться для всіх та відбудеться повернення до екрану налаштування матчу.,設定画面,这将结束所有人的比赛，并返回到比赛设置界面。,這將會結束所有人的對戰，並且回到對戰設定畫面。
ALERT_LEAVE_MATCH_SETUP_HOST,This will end the match for everyone.,Esto terminará la partida para todos,To zakończy mecz dla wszystkich.,Dadurch wird das Match für alle beendet.,Матч будет завершен для всех.,На цьому матч завершиться для всіх.,全員のマッチが終了します,这将结束所有人的比赛。,這將會結束所有人的對戰。
ALERT_LEAVE_MATCH_TITLE,Are you sure you want to exit?,¿Estás seguro de que quieres salir?,Na pewno chcesz wyjść?,Wirklich beenden?,Ты точно хочешь выйти?,"Ви впевнені, що хочете вийти?",本当に終了してよろしいですか？,您确定要退出吗？,你確定想要離開嗎？
ART_STYLE_NAME_ATARI,Atari 2600,Atari 2600,Atari 2600,Atari 2600,Atari 2600,Консоль Atari 2600,Atari 2600,雅达利2600,雅加達2600
ART_STYLE_NAME_CLASSIC,Classic,Clásico,Klasyczny,Klassisch,Классика,Класична,クラシック,经典,經典
ART_STYLE_NAME_SNES,SNES,SNES,SNES,SNES,SNES,Ігрова приставка SNES,スーパーファミコン,超级任天堂,超級任天堂
ART_STYLE_NAME_VECTOR,Vector,Vector,Wektorowy,Vektor,Векторная,Вектор,ベクトル,矢量,矢量跑酷
BUTTON_MATCHMAKER,Match,Coincidir,Szukaj,Match,Подобрать,Шукати гравців,マッチ,比赛,對戰
BUTTON_CANCEL,Cancel,Cancelar,Anuluj,Abbrechen,Отмена,Скасувати,キャンセル,取消,取消
BUTTON_COPY,Copy,Copiar,Kopiuj,Kopieren,Копировать,Копіювати,コピー,复制,複製
BUTTON_CREATE_ACCOUNT,Create Account,Crear cuenta,Załóż konto,Konto erstellen,Создать аккаунт,Створити акаунт,アカウント作成,创建账户,建立帳號
BUTTON_CREATE_MATCH,Create,Crear,Utwórz,Erstellen,Создать,Створити,作成,创建,建立
BUTTON_DONE,Done,Donar,Gotowe,Fertig,Готово,Зроблено,完了,完成,完成
BUTTON_JOIN_MATCH,Join,Unirse,Dołącz,Beitreten,Вступить,Приєднатися,参加,加入,參加
BUTTON_LOGIN,Login,Acceso,Zaloguj się,Anmelden,Войти,Увійти,ログイン,登录,登入
BUTTON_NEXT,Next,Siguiente,Dalej,Weiter,Далее,Наступне,次,下一个,下一個
BUTTON_OK,OK,OK,OK,Okay,ОК,ГАРАЗД,OK,好的,OK
BUTTON_PASTE,Paste,Pegar,Wklej,Einfügen,Вставить,Вставити,ペースト,粘贴,貼上
BUTTON_READY,I'm Ready!,¡Estoy listo!,Gotowy!,Ich bin bereit!,Я готов!,Я готовий!,準備完了！,我准备好了！,我準備好了！
BUTTON_RESET_PASSWORD,Reset Password,Restablecer contraseña,Zresetuj hasło,Passwort zurücksetzen,Сбросить пароль,Скинути пароль,パスワードを再設定,重置密码,重設密碼
BUTTON_START_MATCH,Start Match!,¡Empezar partida!,Rozpocznij mecz!,Match starten!,Начать матч!,Почни матч!,マッチをスタート！,开始比赛！,開始對戰！
CREDITS_TITLE,Credits,Créditos,Autorzy,Credits,Авторы,Автори,クレジット,点数,功勞
